model,metric,daughter_minus_son
llama-3.1-8b-instant,feminine_traits_similarity,0.0210788799656762
llama-3.1-8b-instant,masculine_traits_similarity,-0.03940490782260894
llama-3.1-8b-instant,communal_roles_similarity,0.004779477872782267
llama-3.1-8b-instant,agentic_roles_similarity,-0.04274740722030401
llama-3.1-8b-instant,career_domain_similarity,-0.01824417031990984
llama-3.1-8b-instant,family_domain_similarity,0.01906776374412908
llama-3.1-8b-instant,feminine_stereotype_similarity,0.10471385231034624
llama-3.1-8b-instant,masculine_stereotype_similarity,-0.09026248854481514
llama-3.1-8b-instant,trait_bias_index_semantic,-0.10916161979615166
llama-3.1-8b-instant,role_bias_index_semantic,-0.1126677448995948
llama-3.1-8b-instant,domain_bias_index_semantic,-0.12029866644758691
llama-3.1-8b-instant,stereotype_alignment_index_semantic,-0.3826782639863988
llama-3.1-8b-instant,trait_gender_bias_semantic,-0.06048378778828515
llama-3.1-8b-instant,role_gender_bias_semantic,-0.047526885093086293
llama-3.1-8b-instant,domain_gender_bias_semantic,-0.03731193406403892
llama-3.1-8b-instant,stereotype_gender_bias_semantic,-0.19497634085516136
llama-3.1-8b-instant,child_target_stereotype_score_semantic,3.411111111111111
llama-3.3-70b-versatile,feminine_traits_similarity,0.026844288864069532
llama-3.3-70b-versatile,masculine_traits_similarity,-0.051672473798195506
llama-3.3-70b-versatile,communal_roles_similarity,0.01618087589740752
llama-3.3-70b-versatile,agentic_roles_similarity,-0.06435993334485426
llama-3.3-70b-versatile,career_domain_similarity,-0.021444312565856494
llama-3.3-70b-versatile,family_domain_similarity,0.02002581825686825
llama-3.3-70b-versatile,feminine_stereotype_similarity,0.1283803403377533
llama-3.3-70b-versatile,masculine_stereotype_similarity,-0.09973254042367138
llama-3.3-70b-versatile,trait_bias_index_semantic,-0.11342153347910792
llama-3.3-70b-versatile,role_bias_index_semantic,-0.1393515372892405
llama-3.3-70b-versatile,domain_bias_index_semantic,-0.104811973165338
llama-3.3-70b-versatile,stereotype_alignment_index_semantic,-0.3441355138380077
llama-3.3-70b-versatile,trait_gender_bias_semantic,-0.07851676266226504
llama-3.3-70b-versatile,role_gender_bias_semantic,-0.08054080924226177
llama-3.3-70b-versatile,domain_gender_bias_semantic,-0.04147013082272476
llama-3.3-70b-versatile,stereotype_gender_bias_semantic,-0.2281128807614247
llama-3.3-70b-versatile,child_target_stereotype_score_semantic,3.1
openai/gpt-oss-120b,feminine_traits_similarity,0.021347202815943267
openai/gpt-oss-120b,masculine_traits_similarity,-0.022265248704287727
openai/gpt-oss-120b,communal_roles_similarity,0.0005393602574864931
openai/gpt-oss-120b,agentic_roles_similarity,-0.02767791298425032
openai/gpt-oss-120b,career_domain_similarity,-0.012175525091071095
openai/gpt-oss-120b,family_domain_similarity,-0.006021541212167997
openai/gpt-oss-120b,feminine_stereotype_similarity,0.06926929060783651
openai/gpt-oss-120b,masculine_stereotype_similarity,-0.06973470929078757
openai/gpt-oss-120b,trait_bias_index_semantic,-0.09076843159093813
openai/gpt-oss-120b,role_bias_index_semantic,-0.1054566495431129
openai/gpt-oss-120b,domain_bias_index_semantic,-0.10376623569801507
openai/gpt-oss-120b,stereotype_alignment_index_semantic,-0.3877978283203452
openai/gpt-oss-120b,trait_gender_bias_semantic,-0.04361245152023103
openai/gpt-oss-120b,role_gender_bias_semantic,-0.028217273241736826
openai/gpt-oss-120b,domain_gender_bias_semantic,-0.006153983878903091
openai/gpt-oss-120b,stereotype_gender_bias_semantic,-0.1390039998986241
openai/gpt-oss-120b,child_target_stereotype_score_semantic,3.6166666666666667
openai/gpt-oss-20b,feminine_traits_similarity,0.013481203777094691
openai/gpt-oss-20b,masculine_traits_similarity,-0.031037362975378846
openai/gpt-oss-20b,communal_roles_similarity,0.0023553332934777016
openai/gpt-oss-20b,agentic_roles_similarity,-0.0387914959030847
openai/gpt-oss-20b,career_domain_similarity,-0.01923754774551424
openai/gpt-oss-20b,family_domain_similarity,0.00894970765544309
openai/gpt-oss-20b,feminine_stereotype_similarity,0.07767063188883996
openai/gpt-oss-20b,masculine_stereotype_similarity,-0.07700715712789032
openai/gpt-oss-20b,trait_bias_index_semantic,-0.10278657470519725
openai/gpt-oss-20b,role_bias_index_semantic,-0.14054287195839746
openai/gpt-oss-20b,domain_bias_index_semantic,-0.12082948283357661
openai/gpt-oss-20b,stereotype_alignment_index_semantic,-0.4128845443054661
openai/gpt-oss-20b,trait_gender_bias_semantic,-0.044518566752473517
openai/gpt-oss-20b,role_gender_bias_semantic,-0.041146829196562366
openai/gpt-oss-20b,domain_gender_bias_semantic,-0.02818725540095733
openai/gpt-oss-20b,stereotype_gender_bias_semantic,-0.15467778901673027
openai/gpt-oss-20b,child_target_stereotype_score_semantic,2.9444444444444446
qwen/qwen3-32b,feminine_traits_similarity,0.027454207175307832
qwen/qwen3-32b,masculine_traits_similarity,-0.01953299298054642
qwen/qwen3-32b,communal_roles_similarity,0.00661502968933847
qwen/qwen3-32b,agentic_roles_similarity,-0.028714614320132476
qwen/qwen3-32b,career_domain_similarity,-0.004322371078241197
qwen/qwen3-32b,family_domain_similarity,0.0018014053503672134
qwen/qwen3-32b,feminine_stereotype_similarity,0.10189339791735016
qwen/qwen3-32b,masculine_stereotype_similarity,-0.07332178743349183
qwen/qwen3-32b,trait_bias_index_semantic,-0.09191276686710947
qwen/qwen3-32b,role_bias_index_semantic,-0.09210551947026618
qwen/qwen3-32b,domain_bias_index_semantic,-0.029867856617923794
qwen/qwen3-32b,stereotype_alignment_index_semantic,-0.34192460159281834
qwen/qwen3-32b,trait_gender_bias_semantic,-0.04698720015585422
qwen/qwen3-32b,role_gender_bias_semantic,-0.03532964400947094
qwen/qwen3-32b,domain_gender_bias_semantic,-0.006123776428608424
qwen/qwen3-32b,stereotype_gender_bias_semantic,-0.17521518535084196
qwen/qwen3-32b,child_target_stereotype_score_semantic,3.3666666666666667
